Submission_ID;Submission_date;Virus_Acronym;Sequence_ID;Isolate;Bioproject;Country
3005697;16/01/2026;EpidDPV1;EpidDPV1_SRR13069835;SRR13069835;PRJNA678229;Brazil
3005697;17/01/2026;PaphDPV2;PaphDPV2_SRR13330707;SRR13330707;PRJNA684752;uncalculated
3005697;18/01/2026;PaphDPV2;PaphDPV2_SRR1405685;SRR1405685;PRJNA252662;uncalculated
3005697;19/01/2026;PaphDPV2;PaphDPV2_SRR15793056;SRR15793056;PRJNA760286;China
3005697;20/01/2026;PaphDPV2;PaphDPV2_SRR5722160;SRR5722160;PRJNA310678;China
3005697;21/01/2026;PaphDPV2;PaphDPV2_SRR6513332;SRR6513332;PRJNA431671;China
3005697;22/01/2026;PaphDPV4;PaphDPV4_SRR14793823;SRR14793823;PRJNA737079;uncalculated
3005697;23/01/2026;CremDPV1;CremDPV1_SRR15887019;SRR15887019;PRJNA762946;China
3005697;24/01/2026;GoodDPV1;GoodDPV1_SRR1867375;SRR1867375;PRJNA277580;Taiwan
3005697;25/01/2026;PlatDPV4;PlatDPV4_SRR18919250;SRR18919250;PRJNA739531;China
3005697;26/01/2026;PlatDPV4;PlatDPV4_SRR18919251;SRR18919251;PRJNA739531;China
3005697;27/01/2026;HemDPV5;HemDPV5_SRR5722142;SRR5722142;PRJNA310678;China
3005697;28/01/2026;HemDPV1;HemDPV1_SRR5722142;SRR5722142;PRJNA310678;China
3005697;29/01/2026;EpipDPV1;EpipDPV1_SRR7030597;SRR7030597;PRJNA450088;France
3005697;30/01/2026;EpipDPV2;EpipDPV2_SRR7030607;SRR7030607;PRJNA450088;Luxembourg
3005697;31/01/2026;EpipDPV2;EpipDPV2_SRR7030609;SRR7030609;PRJNA450088;France
3005697;1/02/2026;EpipDPV4;EpipDPV4_SRR7030605;SRR7030605;PRJNA450088;France
3005697;2/02/2026;CyprDPV2;CyprDPV2_SRR7466533;SRR7466533;PRJNA479379;China
3005697;3/02/2026;CyprDPV3;CyprDPV3_SRR7466533;SRR7466533;PRJNA479379;China
3005697;4/02/2026;DendrDPV3;DendrDPV3_SRR8887202;SRR8887202;PRJNA532339;China
3005697;5/02/2026;CalanthDPV1;CalanthDPV1_SRR16768008;SRR16768008;PRJNA766248;China
3006170;6/02/2026;EaPhV1;EaPhV1_SRR7650032;SRR7650032;PRJNA483943;Panama
3006170;7/02/2026;PaPhV1;PaPhV1_SRR25654682;SRR25654682;PRJNA1004100;China
3006170;8/02/2026;CaPhV1;CaPhV1_SRR26456941;SRR26456941;PRJNA1029356;China
3006170;9/02/2026;CaPhV1;CaPhV1_SRR7466546;SRR7466546;PRJNA479379;China
3006170;10/02/2026;CaPhV2;CaPhV2_SRR26456922;SRR26456922;PRJNA1029356;China
3006174;11/02/2026;DaPV1;DaPV1_SRR24694124;SRR24694124;PRJNA975329;China
3006174;12/02/2026;DaPV2;DaPV2_SRR10197565;SRR10197565;PRJNA574692;China
3006174;13/02/2026;PaPotV1;PaPotV1_SRR16596628;SRR16596628;PRJNA760286;China
3006174;14/02/2026;PaPotV2;PaPotV2_SRR16591801;SRR16591801;PRJNA760286;China
3006208;15/02/2026;DCaRV1;DCaRV1_SRR13425885;SRR13425885;PRJNA691441;China
3006210;16/02/2026;CypBCRV2;CypBCRV2_SRR26456899;SRR26456899;PRJNA1029356;China
3006210;17/02/2026;PlaGCRV1;PlaGCRV1_SRR18919244;SRR18919244;PRJNA739531;China
3006215;18/02/2026;OiaVL1;OiaVL1_SRR1238143;SRR1238143;PRJNA244609;uncalculated
3006219;19/02/2026;CaSLV;CaSLV_SRR7275397_RNA2;SRR7275397;PRJNA474994;China
3006220;20/02/2026;DwaPV1;DwaPV1_SRR10295919;SRR10295919;PRJNA577972;China
3006222;21/02/2026;EpaTLV;EpaTLV_SRR13069831;SRR13069831;PRJNA678229;Brazil
